Distance	Data/CP17/4MHA-4CNN_split.rels Recall	TP	FN	Data/CP17/TEES_split.rels Recall	TP	FN
0-4	0.31	202	453	0.29	191	464
5-9	0.23	275	945	0.20	250	970
10-14	0.20	175	711	0.17	151	735
15-19	0.16	95	487	0.14	80	502
20-24	0.12	38	282	0.11	36	284
25-29	0.10	18	154	0.09	16	156
30-34	0.05	5	98	0.04	4	99
35-39	0.07	4	50	0.07	4	50
40-44	0.06	2	31	0.06	2	31
45-49	0.04	1	25	0.00	0	26
50-54	0.00	0	9	0.00	0	9
55-59	0.00	0	8	0.00	0	8
60-64	0.00	0	1	0.00	0	1
65-69	0.00	0	1	0.00	0	1
130-134	0.00	0	1	0.00	0	1
135-139	0.00	0	1	0.00	0	1
